powerInW,timeInMinutes
17.85,0
15.03,1
19.23,2
16.63,3
16.81,4
15.34,5
15.26,6
17.96,7
13.99,8
16.31,9
18.74,10
13.27,11
18.39,12
16.87,13
15.92,14
13.04,15
15.67,16
16.61,17
15.46,18
14.02,19
15.55,20
14.84,21
16.98,22
17.91,23
18.78,24
14.24,25
20.15,26
14.61,27
18.65,28
15.42,29
15.83,30
17.51,31
14.91,32
15.89,33
16.58,34
15.51,35
14.93,36
18.85,37
16.08,38
16.14,39
17.35,40
15.32,41
17.82,42
15.69,43
14.95,44
14.84,45
16.04,46
15.9,47
17.97,48
17.63,49
16.27,50
19.83,51
14.44,52
17.88,53
18.9,54
15.67,55
19.26,56
14.99,57
17.07,58
14.14,59
17.02,60
14.86,61
16.39,62
17.97,63
17.82,64
16.77,65
14.85,66
16.54,67
13.79,68
