powerInW,timeInMinutes
2767.01,0
2507.67,1
2213.86,2
2250.32,3
2835.12,4
2667.18,5
3138.79,6
2571.68,7
2490.4,8
2473.68,9
2584.35,10
2704.78,11
2161.23,12
2090.07,13
2290.35,14
0.0,15
0.0,16
0.0,17
0.0,18
0.0,19
1263.36,20
964.96,21
1308.29,22
1329.75,23
1115.61,24
1025.81,25
1071.76,26
1097.93,27
1203.49,28
1105.04,29
1172.56,30
1131.17,31
1139.99,32
1080.27,33
1066.66,34
1168.44,35
1182.81,36
1135.92,37
1141.92,38
885.87,39
1167.12,40
1152.62,41
1010.36,42
1281.02,43
1219.7,44
920.4,45
1000.2,46
1050.25,47
1018.39,48
